Address,Price,Link,Bedrooms,Bathrooms,SQFT,Zip_Code,Metro_Area,Address_1,City,State,Last_Sale_Date,Last_Sale_Value,Gross_rent,Description,sales_value,income_value
"707 N McCadden Pl, Los Angeles, CA 90038",1995000,https://www.zillow.com/homedetails/707-N-McCadden-Pl-Los-Angeles-CA-90038/20783599_zpid/,3,3,2007,90038,"Los Angeles, CA",707 N McCadden Pl,Los Angeles,CA,2017-01,1512500,82248,"Perched just above Hancock Park lies this meticulously renovated Contemporary Spanish residence. This refined overhaul encompasses a 2007 sq. ft. abode featuring 3 bedrooms and 2.5 bathrooms. Inside, lofty vaulted ceilings, hand-scraped French Oak flooring, a Chef's kitchen, and designer touches cater to the most discerning tastes. Step outside to discover an entertainer's paradise in the backyard, complete with a built-in BBQ, fire pit, and a tranquil water fountain sure to delight all your guests. Unwind under the stars with a glass of wine by the softly illuminated pergola-covered fire pit for a serene evening. A 280 sq. ft. detached bonus room awaits, ideal for a home office, gym, or whatever fits your needs best. Additionally, there is a massive 2 car garage with nearly endless storage space. This residence exudes sophistication while retaining an inviting warmth  epitome of elegance and comfort. Welcome home!",2500000,4486556
"918 1/2 N Ridgewood Pl, Los Angeles, CA 90038",1299000,https://www.zillow.com/homedetails/918-1-2-N-Ridgewood-Pl-Los-Angeles-CA-90038/2054527572_zpid/,3,4,2353,90038,"Los Angeles, CA",918 1/2 N Ridgewood Pl,Los Angeles,CA,2023-11,1275000,94224,"* Only 2 homes left! * Welcome to Ridgewood 10, a collection of new modern homes adjacent to Paramount Studios in Hollywood, CA! Consisting of 10 single family homes, each residence offers up to 2353 sq ft, 3 plush, en suite bedrooms, beautifully finished bathrooms, and a convenient powder room. Main living areas feature open floor plans, high ceilings with built in speakers, and oversized balconies with folding glass doors. Custom cabinetry, quartz counters, and walk-in pantries in each of the kitchens will thrill the home chef. The top floor offers two primary bedrooms with walk in closets, and laundry conveniently located between them. Built under Los Angeles' Small Lot Ordinance, each home is detached with individual and private entry, as well as full size, 2 car garages pre-wired for EV vehicles. Each residence is spacious, and supplemented with an expansive 400+ sq ft rooftop patio that has ample room for seating and dining while enjoying views of the iconic Hollywood sign and Griffith Observatory. Conveniently located close to some of the best shopping and dining in LA, as well as local hiking trails and nightlife in Hollywood.",1250000,2569918
"6015 W Beachwood Ln, Los Angeles, CA 90038",1249000,https://www.zillow.com/homedetails/6015-W-Beachwood-Ln-Los-Angeles-CA-90038/295169731_zpid/,3,4,1866,90038,"Los Angeles, CA",6015 W Beachwood Ln,Los Angeles,CA,2018-09,1089000,72612,"Welcome to this amazing 3-bedroom gem boasting one of the best Primary Suite setups you'll find. Spanning 1841 square feet of brilliant KTGY Architecture. Step into an extra-large U-shaped kitchen designed for both functionality and style. Embracing a Modern Industrial Loft Design, this home exudes contemporary charm and urban sophistication. The attention to detail is impeccable, with high-quality finishes throughout. Revel in the unique corrugated metal skin that not only adds character but also creates captivating movement in the facade and throughout the building. This property features a bonus office area, perfect for remote work or creative pursuits. Positioned in what we believe to be a prime location, there's potential for significant value appreciation with the anticipated investment and growth in the burgeoning ""Hollywood Studio District."" Don't miss out on this opportunity to own a piece of architectural excellence in a neighborhood poised for exciting development. Schedule your viewing today and experience the epitome of modern urban living!",1350000,2263383
"5342 Lemon Grove Ave, Los Angeles, CA 90038",1299000,https://www.zillow.com/homedetails/5342-Lemon-Grove-Ave-Los-Angeles-CA-90038/20789747_zpid/,5,3,1876,90038,"Los Angeles, CA",5342 Lemon Grove Ave,Los Angeles,CA,2020-10,960000,59988,"Beautifully Upgraded 5-Bedroom Pool Home w/ ADU in Highly-Desirable Melrose Hills Neighborhood! Having undergone recent renovations, this stunner features designer finishes throughout & is move-in ready. Open modern-concept layout w/ hardwood flooring, crown mouldings, & ceiling fans throughout. Living room w/ brick fireplace & built-in surround-sound system. Adjacent dining area w/ sliding patio doors for al-fresco dining. Chef's kitchen w/ shaker cabinets, quartz countertops, high-end stainless-steel appliances, & dine-in bar. Upgraded bathrooms w/ designer marble-top vanities. ADU studio unit features full bathroom/kitchen & mini-split HVAC system. Spacious backyard w/ swimming pool, built-in BBQ/outdoor kitchen area, firepit, & gazebo - perfect for entertaining! Other upgrades include copper plumbing & 200-amp electrical panel. Fully gated lot. Laundry room. Central AC + Heat. Storage shed. Plenty of driveway parking. R2 Zoning provides possible future development opportunities. Just minutes to Wilshire Country Club & the best shopping, dining, & entertainment the area has to offer. Turnkey!",1100000,1636146
"6728 W Hepburn Way, Los Angeles, CA 90038",1675000,https://www.zillow.com/homedetails/6728-W-Hepburn-Way-Los-Angeles-CA-90038/122562925_zpid/,3,4,2346,90038,"Los Angeles, CA",6728 W Hepburn Way,Los Angeles,CA,2018-08,1500000,90792,This remarkable 4 story townhome is located in a gated community in a quieter part of Hollywood. The home has 2 parking spaces upon entry. When you enter the first floor you will have a entry way with a room on the first floor. The first floor room has its full bath inside and a laundry closet with a washer and dryer stacked upon one another. On the second floor you will find main attraction. The kitchen and living room. On the second floor you will find a half bath for guests to use while in the home. On the 3rd floor you will find the primary suite with a walk in closet and private bathroom as well as the 3rd bedroom with its own full bath. On the 4th floor you will find a private rooftop that has spanning views of the Hollywood sign and the Hollywood Hills. This 360 view with private rooftop is not found in many places throughout Hollywood. This is definitely for someone who likes to host but also wants a quite space when people are not around.,1900000,4421986
"1203 N Garbo Ln, Los Angeles, CA 90038",1450000,https://www.zillow.com/homedetails/1203-N-Garbo-Ln-Los-Angeles-CA-90038/119677184_zpid/,3,4,2345,90038,"Los Angeles, CA",1203 N Garbo Ln,Los Angeles,CA,2021-06,1355000,90792,"Welcome to 1203 Garbo Lane, a stunning 3 level architectural jewel in prime Hollywood. With its striking light filled interiors, it is perfect as live work space or simply elevated contemporary living. The first level includes a large flexible living area and a stylish bedroom which doubles as a professional level music studio. The expansive second level great room w/open kitchen has walls of floor to ceiling windows that provide for a beautiful quality of light throughout. The fully equipped chef's kitchen and island are exceptional with designer details and surfaces. The primary bedroom's ensuite bath with dual sinks, walk-in closet and private patio are on the third level along with an additional bedroom and ensuite bath. There are outdoor patio spaces on each level, and a stellar extra large rooftop terrace with a mounted TV, bar, city and hillside views, all perfect for entertaining. Tech features include a Savant smart home system with integrated security cameras and audio system. This Must See Opportunity is located in the gated Hollywood Colony and proximate to everything Hollywood.",1500000,3095390
"6136 1/2 Lexington Ave, Los Angeles, CA 90038",1649000,https://www.zillow.com/homedetails/6136-1-2-Lexington-Ave-Los-Angeles-CA-90038/2075914736_zpid/,3,4,2483,90038,"Los Angeles, CA",6136 1/2 Lexington Ave,Los Angeles,CA,2021-04,1390000,109368,"Embrace the Lexington Lifestyle! Now at an Affordable Price! With our new price improvement, we're excited to showcase a unique living experience in Hollywood, where luxury meets vibrant life, all within reach. Imagine driving into your oversized two-car garage, a private entryway to your modern sanctuary. Our lifestyle video captures a glimpse of this reality, featuring a couple as they transition from the dynamic streets of LA to the serenity of their home. Follow them as they ascend to the rooftop deck, where the breathtaking views of the Hollywood Hills and DTLA skyline become the backdrop to an enchanting evening. As the sun sets, they share a toast, celebrating the lifestyle that only The Lexington can offer. This isn't just living; it's living elevated. Welcome to The Lexington, where every detail is meticulously crafted for those who desire a life filled with luxury, excitement, and affordability. And they lived happily ever after...#TrueStory",1600000,4048308
"1242 Gordon St, Los Angeles, CA 90038",1169000,https://www.zillow.com/homedetails/1242-Gordon-St-Los-Angeles-CA-90038/20789432_zpid/,3,4,1956,90038,"Los Angeles, CA",1242 Gordon St,Los Angeles,CA,2017-08,1059000,77988,"South-facing Modern home with explosive views just steps from the excitement of Sunset Blvd in the heart of Hollywood. This freestanding tri-level single family home is gated and was built to enjoy captivating downtown views. Featuring a 90 walk score ""walker's paradise"" and located steps from shops, dining and entertainment. Boasting warm wood floors throughout and an entertainer's open layout, the cook's kitchen with eat-in peninsula and soft close Italian cabinets flow seamlessly to the dining and living room with private patio. The Primary retreat boasts stunning views of downtown and en-suite bath boasts dual sinks and freshly tiled bath. All 3 bedrooms are en-suite. Upstairs find an incredible private roof deck with the most dazzling views of downtown LA, the Hollywood sign and Hollywood - ready for your glass of wine and the ultimate unwind. 2 car private garage. Gated and secure. Close to freeways and steps from Netflix, Columbia Square, NeueHouse and Sugar Fish.",1500000,2879166
"848 N Las Palmas Ave, Los Angeles, CA 90038",3150000,https://www.zillow.com/homedetails/848-N-Las-Palmas-Ave-Los-Angeles-CA-90038/20783485_zpid/,6,7,3474,90038,"Los Angeles, CA",848 N Las Palmas Ave,Los Angeles,CA,2018-06,2580000,180000,"NEW PRICE! Presenting an chic and modern residence at 848 N Las Palmas Ave, Los Angeles, CA 90038. This newer construction (2009 & 2017) expansive property comprises a main house with 5 bedrooms(dual masters) and 5 1/2 bathrooms, accompanied by a detached guest house boasting an additional bedroom and bath, spanning a generous total living space of 3,474 square feet, all resting on an impressive lot size of 6,381 square feet. Upon crossing the gated entrance, you're greeted by a two-story foyer that seamlessly flows into an open floor plan. The spacious design is meticulously crafted to optimize comfort while fostering an inviting atmosphere, perfect for both entertaining and relaxation. The main floor features a guest bedroom and one of two master suites, both master suites are graced with a private terrace and walk-in closets, ensuring ample storage. All bedrooms are accompanied by ensuite bathrooms, offering optimal privacy and convenience. The kitchen stands as the heart of this residence and includes an extra large island with luxurious waterfall quartz countertop, and is equipped with stainless steel appliances ready for any culinary adventure. Adjacent to it, the living room showcases a cozy fireplace, adding warmth to the modern design aesthetic. Outside, both front and back yards, along with multiple balconies, provide various vantage points to relish the breathtaking city lights views. The spacious rooftop deck offers an additional outdoor living space, perfect for unwinding beneath the stars while catching panoramic views and even a glimpse of the iconic Hollywood sign. An undeniable highlight is the pool and spa area, complete with an outdoor shower. Adding versatility to your living options, there's a separate air-conditioned guest house with a 3/4 bath. This property is enhanced by dual AC for temperature regulation and features advanced Nest technology, optimizing functionality and ease of use throughout the home. Nestled in the vibrant and highly sought-after Hollywood/Hancock Park area of Los Angeles, adjacent to Paramount Studios and Wilshire Country Club, this home provides access to a myriad of amenities, including shopping centers, eateries, parks, cultural venues, and entertainment spots. Whether you seek a haven for easy living or a space for hosting gatherings, big or small, this property offers limitless possibilities tailored to your lifestyle needs. Immerse yourself in the epitome of contemporary living at 848 N Las Palmas Ave.",4500000,15780283
"5500 Barton Ave, Los Angeles, CA 90038",1895000,https://www.zillow.com/homedetails/5500-Barton-Ave-Los-Angeles-CA-90038/250337548_zpid/,6,5,2816,90038,"Los Angeles, CA",5500 Barton Ave,Los Angeles,CA,2018-09,1400000,27528,"Located in a prime Hollywood pocket, the Barton apartments are surrounded by various shops, restaurants and cafes. The Barton apartments consist of 5 units in total, along with plans (submitted and pending city approval) for 1 ADU. Four of the five units are fully upgraded units, and all five units are currently occupied. The unit breakdown includes four 1 bedroom 1 bathroom units and one 2 bedroom 1 bathroom unit. The unit upgrades include timeless design features, that would appeal to future tenants to come. There are three enclosed garages and five additional open spaces for tenant parking. The property's charming Spanish style accents give a ton of character to the building. Just minutes away from Los Feliz, Larchmont Village, Santa Monica Boulevard and much more, the Barton apartments are a unique find in today's market!",2500000,1340739
"849 N June St, Los Angeles, CA 90038",1725000,https://www.zillow.com/homedetails/849-N-June-St-Los-Angeles-CA-90038/20783494_zpid/,3,2,2263,90038,"Los Angeles, CA",849 N June St,Los Angeles,CA,2023-05,1571000,80628,"Act fast on this RTI development opportunity in prime Hollywood near Melrose/Highland. Currently on the massive 6,290 SF LARD1.5 lot stands a 3-bedroom 2-bathroom single family home spanning 2,263 SF and a detached shed just two lots away from the corner. Approved plans call for the demolition of the existing structure to build four new 4-bedroom townhome style units plus a single-story 2-bedroom 2-bath ADU distributed over 7,000 SF of building square footage. All three and four bedroom floor plans boast over 1,400 SF, 1 full bathroom for each bedroom, in-unit washer/dryer, open concept kitchen/living/dining rooms, and 2 parking spaces. The 2-bedroom 2-bathroom ADU provides an impressive 952 SF. Furthermore, SB8 clearance is on hand verifying that no replacement units are required for the future development. This pocket of Hollywood is the perfect home for multifamily developments as such boasting strong connectivity to major hubs such as Larchmont Village, Hollywood at Highland, and Paramount Pictures Studios.",1700000,2669347
"5918 Barton Ave, Los Angeles, CA 90038",1995000,https://www.zillow.com/homedetails/5918-Barton-Ave-Los-Angeles-CA-90038/250337516_zpid/,8,8,3964,90038,"Los Angeles, CA",5918 Barton Ave,Los Angeles,CA,2015-02,1100000,52224,"Barton Apartments is a charming, Spanish Revival garden apartment complex located in Hollywood, one of the most exciting and dynamic neighborhoods in Los Angeles. The property consists of eight units, each with its own entrance, and five individual, fully enclosed garages. Four of the eight units have been fully remodeled with stainless steel gas ranges and quartz countertops. The units feature hardwood floors and air conditioning. Built in 1924, the 3,964-square-foot property sits on a 6,497-square-foot lot.",3500000,3052257
"114 W 18th St, Riviera Beach, FL 33404",269000,https://www.zillow.com/homedetails/114-W-18th-St-Riviera-Beach-FL-33404/46877816_zpid/,2,1,912,33404,"Miami, FL",114 W 18th St,Riviera Beach,FL,2018-11,135000,24000,"BEAUTIFUL SPACIOUS HOME WITH EAT-IN KITCHEN THAT BOASTS WOOD CABINETRY, TILE BACKSPLASH, GRANITE COUNTER TOPS AND STAINLESS STEEL APPLIANCES.  VERY LARGE PRIVATE FENCED BACK YARD WITH FAUX GRASS, PAVER PATIO AREA AND MANY  TREES FOR PLENTY OF SHADE FOR COOLER DAYS. TILE THROUGHOUT, WASHER AND DRYER. LONG WIDE DRIVEWAY FOR PLENTY OF PARKING AND BEAUTIFUL FRONT YARD WITH FLOWERING BUSHES",200000,105483
"3600 N Ocean Dr APT 101, Riviera Beach, FL 33404",299000,https://www.zillow.com/homedetails/3600-N-Ocean-Dr-APT-101-Riviera-Beach-FL-33404/46871542_zpid/,1,1,620,33404,"Miami, FL",3600 N Ocean Dr APT 101,Riviera Beach,FL,2023-10,220000,23988,"Welcome to your very own beachfront ground-floor oasis! This amazing 1 BR / 1 BA unit has been beautifully updated with all-new appliances, fixtures, and a fully renovated bathroom. Features include a private screened in patio, elegant crown molding, recess lighting, washer/dryer in unit and designated parking. Villas On the Ocean offers exclusive access to a private beach, a refreshing large pool, and the added convenience of an onsite carwash station. What truly sets this coastal property apart is its unbeatable location.  The ocean is just a few steps away, in addition to being near Ocean Mall, Sailfish Marina, Marriott Vacation Club & The Singer Oceanfront Resort by Hilton.",250000,164003
"1094 W 27th St, Riviera Beach, FL 33404",364900,https://www.zillow.com/homedetails/1094-W-27th-St-Riviera-Beach-FL-33404/46875836_zpid/,3,2,1412,33404,"Miami, FL",1094 W 27th St,Riviera Beach,FL,2023-12,200000,36708,"This beautiful SINGLE FAMILY 3 bedroom, 2 bath, new roof, hurricane impact windows, has open floor plan with a kitchen , beautiful countertops, stainless steel appliances, pantry and laundry , vinyl flooring . Amazing lot and private back yard. Home has been freshly painted inside and out ready to move in. Property on Supra.",180000,170300
"216 E 24th St, Riviera Beach, FL 33404",450000,https://www.zillow.com/homedetails/216-E-24th-St-Riviera-Beach-FL-33404/46873275_zpid/,3,2,1032,33404,"Miami, FL",216 E 24th St,Riviera Beach,FL,2020-12,289000,35148,"This charming, fully renovated home just two blocks from Florida's IntracoastalÑa haven for water enthusiasts and only 1.4 miles away from Singer Island at its beaches and a short boat ride to Peanut Island! Step inside and revel in the open concept layout and spacious, updated kitchen, ideal for entertaining and equipped with soft-close drawers. Retire to the tranquility of your spacious backyard featuring a cozy 'she-shed' or man cave, perfect for hobbies. The seller has a green thumb and has planted pumpkin, squash, and avocado trees, to name a few! This well-kept garden offers space for a pool and for children or pets to roam. Your solid roof and impact windows will keep you secure during stormy seasons, and benefit from a recently installed water softening system. PRICE IMPROVEMENT!",400000,300378
"130 Riviera Dr, Riviera Beach, FL 33404",2099000,https://www.zillow.com/homedetails/130-Riviera-Dr-Riviera-Beach-FL-33404/46872717_zpid/,4,3,2996,33404,"Miami, FL",130 Riviera Dr,Riviera Beach,FL,2020-03,708000,139884,"BRING YOUR BOATS!! STUNNING WATERFRONT OASIS - COMPLETELY REMODELED!!  No fixed bridges and easy access to Ocean and Peanut Island! This gorgeous 4 bedroom, 3 bath pool home will not disappoint!  Large sundeck/balcony off the upstairs family room provides sun drenched ocean views.   Paradise  continues outside with a pool, a private dock with 2 boat lifts, covered lanai and spiral staircase that leads to the oversized sundeck.  This home is nestled towards the end of the cul-de-sac, with circular drive and 2017 metal roof.   New wood tile flooring throughout.  Updated Kitchen with walk in butler pantry, large island and coffee bar. The family room has white wash cathedral ceiling, wood beams and ocean views. The primary bedroom and updated bath are located on the first floor along with 2 additional bedrooms and full size bath. The second floor consists of another bedroom bath and a large family room. Other improvements to mention are new lighting, new a/c's, updated electrical, new pool pump, plumbing from street to home has been re-sleeved, hardwire smoke detectors, new 30k and 10k boat lifts, ample closet space, covered patio and interior has been freshly painted.",450000,4781855
"3100 N Ocean Dr #1702-P, West Palm Beach, FL 33404",3275000,https://www.zillow.com/homedetails/3100-N-Ocean-Dr-1702-P-West-Palm-Beach-FL-33404/2053597321_zpid/,2,3,2525,33404,"Miami, FL",3100 N Ocean Dr #1702-P,West Palm Beach,FL,2024-01,2900000,208980,"Amazing opportunity at the all new Amrit Ocean Resort and Residences. Premium 17th floor light and bright corner unit. With an east to west flow through floorplan, you can enjoy the best of both worlds with expansive views of the ocean and intracoastal waterway. The unit is 3,425 total square feet with 2 Bedrooms, 1 Den/Office (suitable for a 3rd bedroom) and 2.1 Baths which includes both sunrise and sunset outdoor terraces. Can be purchased with or without the furniture. This Brand New Oceanfront Condo and Hotel boasts tons of amenities including over 100,000 sq ft of spa, four restaurants, bars, and beachfront service. Owners have use of their own personal amenities PLUS everything the hotel has to offer. Amrit allows the ability for nightly, weekly, or long term rentals. Do not miss this chance to buy in at an incredible value now before the soon to be completed hotel and resort is fully up and running!",3500000,16328830
